period,y,target_lag_1,target_lag_3,target_lag_6,temp_max_c,temp_min_c,fog_days_count,wet_days_count,temp_max_c_lag_1,temp_max_c_lag_2,temp_min_c_lag_1,temp_min_c_lag_2,fog_days_count_lag_1,fog_days_count_lag_2,wet_days_count_lag_1,wet_days_count_lag_2
2000-07-01,243695.0,220070.55,220156.2,194179.1,26.096774193548388,16.46451612903226,11.0,0.0,24.84333333333333,22.92903225806452,15.713333333333336,14.119354838709675,6.0,7.0,0.0,2.0
2000-08-01,250550.5,243695.0,217748.7,175889.25,27.82258064516129,18.345161290322583,4.0,2.0,26.096774193548388,24.84333333333333,16.46451612903226,15.713333333333336,11.0,6.0,0.0,0.0
2000-09-01,227847.65,250550.5,220070.55,188437.95,26.31,17.486666666666668,9.0,2.0,27.82258064516129,26.096774193548388,18.345161290322583,16.46451612903226,4.0,11.0,2.0,0.0
2000-10-01,260468.6,227847.65,243695.0,220156.2,21.42903225806452,14.258064516129032,10.0,7.0,26.31,27.82258064516129,17.486666666666668,18.345161290322583,9.0,4.0,2.0,2.0
2000-11-01,210208.15,260468.6,250550.5,217748.7,19.06,8.51,2.0,3.0,21.42903225806452,26.31,14.258064516129032,17.486666666666668,10.0,9.0,7.0,2.0
2000-12-01,203020.25,210208.15,227847.65,220070.55,19.083870967741937,8.848387096774195,5.0,3.0,19.06,21.42903225806452,8.51,14.258064516129032,2.0,10.0,3.0,7.0
2001-01-01,212322.6,203020.25,260468.6,243695.0,16.03548387096774,6.6,6.0,6.0,19.083870967741937,19.06,8.848387096774195,8.51,5.0,2.0,3.0,3.0
2001-02-01,163331.4,212322.6,210208.15,250550.5,15.05714285714286,7.389285714285714,9.0,15.0,16.03548387096774,19.083870967741937,6.6,8.848387096774195,6.0,5.0,6.0,3.0
2001-03-01,217283.55,163331.4,203020.25,227847.65,17.37741935483871,10.641935483870968,17.0,7.0,15.05714285714286,16.03548387096774,7.389285714285714,6.6,9.0,6.0,15.0,6.0
2001-04-01,221464.7,217283.55,212322.6,260468.6,17.886666666666667,10.196666666666664,9.0,9.0,17.37741935483871,15.05714285714286,10.641935483870968,7.389285714285714,17.0,9.0,7.0,15.0
2001-05-01,213859.9,221464.7,163331.4,210208.15,22.458064516129035,13.516129032258064,13.0,0.0,17.886666666666667,17.37741935483871,10.196666666666664,10.641935483870968,9.0,17.0,9.0,7.0
2001-06-01,243053.0,213859.9,217283.55,203020.25,24.863333333333333,15.743333333333334,9.0,1.0,22.458064516129035,17.886666666666667,13.516129032258064,10.196666666666664,13.0,9.0,0.0,9.0
2001-07-01,250343.55,243053.0,221464.7,212322.6,24.738709677419354,16.31935483870968,18.0,1.0,24.863333333333333,22.458064516129035,15.743333333333334,13.516129032258064,9.0,13.0,1.0,0.0
2001-08-01,261704.6,250343.55,213859.9,163331.4,26.18064516129032,16.629032258064516,11.0,0.0,24.738709677419354,24.863333333333333,16.31935483870968,15.743333333333334,18.0,9.0,1.0,1.0
2001-09-01,275558.4,261704.6,243053.0,217283.55,25.52,16.470000000000002,19.0,0.0,26.18064516129032,24.738709677419354,16.629032258064516,16.31935483870968,11.0,18.0,0.0,1.0
2001-10-01,274953.1,275558.4,250343.55,221464.7,23.05483870967742,15.038709677419355,20.0,1.0,25.52,26.18064516129032,16.470000000000002,16.629032258064516,19.0,11.0,0.0,0.0
2001-11-01,241729.2,274953.1,261704.6,213859.9,19.58,11.923333333333334,16.0,6.0,23.05483870967742,25.52,15.038709677419355,16.470000000000002,20.0,19.0,1.0,0.0
2001-12-01,225885.5,241729.2,275558.4,243053.0,16.361290322580643,7.025806451612904,4.0,9.0,19.58,23.05483870967742,11.923333333333334,15.038709677419355,16.0,20.0,6.0,1.0
2002-01-01,220809.25,225885.5,274953.1,250343.55,17.032258064516128,6.929032258064517,7.0,8.0,16.361290322580643,19.58,7.025806451612904,11.923333333333334,4.0,16.0,9.0,6.0
2002-02-01,244166.75,220809.25,241729.2,261704.6,19.832142857142856,7.696428571428571,7.0,2.0,17.032258064516128,16.361290322580643,6.929032258064517,7.025806451612904,7.0,4.0,8.0,9.0
2002-03-01,229953.7,244166.75,225885.5,275558.4,18.5258064516129,9.070967741935483,7.0,5.0,19.832142857142856,17.032258064516128,7.696428571428571,6.929032258064517,7.0,7.0,2.0,8.0
2002-04-01,276372.75,229953.7,220809.25,274953.1,18.866666666666667,10.73,10.0,1.0,18.5258064516129,19.832142857142856,9.070967741935483,7.696428571428571,7.0,7.0,5.0,2.0
2002-05-01,284384.5,276372.75,244166.75,241729.2,20.751612903225805,12.087096774193547,8.0,1.0,18.866666666666667,18.5258064516129,10.73,9.070967741935483,10.0,7.0,1.0,5.0
2002-06-01,301446.95,284384.5,229953.7,225885.5,23.15333333333333,14.233333333333333,13.0,0.0,20.751612903225805,18.866666666666667,12.087096774193547,10.73,8.0,10.0,1.0,1.0
2002-07-01,271932.1,301446.95,276372.75,220809.25,25.11290322580645,15.841935483870968,15.0,0.0,23.15333333333333,20.751612903225805,14.233333333333333,12.087096774193547,13.0,8.0,0.0,1.0
2002-08-01,339689.25,271932.1,284384.5,244166.75,25.32903225806452,15.861290322580643,12.0,0.0,25.11290322580645,23.15333333333333,15.841935483870968,14.233333333333333,15.0,13.0,0.0,0.0
2002-09-01,330966.45,339689.25,301446.95,229953.7,26.396666666666665,16.423333333333332,13.0,3.0,25.32903225806452,25.11290322580645,15.861290322580643,15.841935483870968,12.0,15.0,0.0,0.0
2002-10-01,265217.35,330966.45,271932.1,276372.75,21.11935483870968,13.483870967741936,13.0,1.0,26.396666666666665,25.32903225806452,16.423333333333332,15.861290322580643,13.0,12.0,3.0,0.0
2002-11-01,301332.1,265217.35,339689.25,284384.5,21.696666666666665,11.206666666666669,10.0,7.0,21.11935483870968,26.396666666666665,13.483870967741936,16.423333333333332,13.0,13.0,1.0,3.0
2002-12-01,306098.55,301332.1,330966.45,301446.95,16.799999999999997,8.37741935483871,8.0,9.0,21.696666666666665,21.11935483870968,11.206666666666669,13.483870967741936,10.0,13.0,7.0,1.0
2003-01-01,276481.55,306098.55,265217.35,271932.1,21.061290322580643,9.8,12.0,3.0,16.799999999999997,21.696666666666665,8.37741935483871,11.206666666666669,8.0,10.0,9.0,7.0
2003-02-01,274739.5,276481.55,301332.1,339689.25,17.489285714285714,9.160714285714286,7.0,9.0,21.061290322580643,16.799999999999997,9.8,8.37741935483871,12.0,8.0,3.0,9.0
2003-03-01,298495.0,274739.5,306098.55,330966.45,19.09032258064516,10.32258064516129,12.0,3.0,17.489285714285714,21.061290322580643,9.160714285714286,9.8,7.0,12.0,9.0,3.0
2003-04-01,326708.05,298495.0,276481.55,265217.35,18.113333333333333,10.36,7.0,9.0,19.09032258064516,17.489285714285714,10.32258064516129,9.160714285714286,12.0,7.0,3.0,9.0
