week_ending,y
2000-01-01,194179.1
2000-02-01,175889.25
2000-03-01,188437.95
2000-04-01,220156.2
2000-05-01,217748.7
2000-06-01,220070.55
2000-07-01,243695.0
2000-08-01,250550.5
2000-09-01,227847.65
2000-10-01,260468.6
2000-11-01,210208.15
2000-12-01,203020.25
2001-01-01,212322.6
2001-02-01,163331.4
2001-03-01,217283.55
2001-04-01,221464.7
2001-05-01,213859.9
2001-06-01,243053.0
2001-07-01,250343.55
2001-08-01,261704.6
2001-09-01,275558.4
2001-10-01,274953.1
2001-11-01,241729.2
2001-12-01,225885.5
2002-01-01,220809.25
2002-02-01,244166.75
2002-03-01,229953.7
2002-04-01,276372.75
2002-05-01,284384.5
2002-06-01,301446.95
2002-07-01,271932.1
2002-08-01,339689.25
2002-09-01,330966.45
2002-10-01,265217.35
2002-11-01,301332.1
2002-12-01,306098.55
2003-01-01,276481.55
2003-02-01,274739.5
2003-03-01,298495.0
2003-04-01,326708.05
2003-05-01,348275.05
2003-06-01,305891.85
2003-07-01,331740.3
2003-08-01,360045.1
2003-09-01,350475.6
2003-10-01,372111.05
2003-11-01,338378.2
2003-12-01,306983.45
2004-01-01,345411.55
2004-02-01,247709.3
2004-03-01,340748.0
2004-04-01,345338.15
2004-05-01,367128.0
2004-06-01,347055.75
2004-07-01,365900.3
2004-08-01,344108.6
2004-09-01,324345.7
2004-10-01,352717.85
2004-11-01,340050.4
2004-12-01,283267.2
2005-01-01,305102.2
2005-02-01,294022.45
2005-03-01,262173.05
2005-04-01,336086.9
2005-05-01,319472.4
2005-06-01,340581.95
2005-07-01,356715.95
2005-08-01,349654.5
2005-09-01,356912.4
2005-10-01,375050.85
2005-11-01,332036.55
2005-12-01,328244.1
2006-01-01,327009.1
2006-02-01,251811.85
2006-03-01,345401.05
2006-04-01,370170.6
2006-05-01,368863.55
2006-06-01,387956.85
2006-07-01,413357.25
2006-08-01,414004.3
2006-09-01,431282.9
2006-10-01,421693.7
2006-11-01,390208.5
2006-12-01,365590.75
2007-01-01,367095.65
2007-02-01,358600.75
2007-03-01,323472.1
2007-04-01,375511.5
2007-05-01,368874.3
2007-06-01,393187.1
2007-07-01,387573.25
2007-08-01,379027.1
2007-09-01,407914.75
2007-10-01,393947.95
2007-11-01,383240.75
2007-12-01,346140.45
2008-01-01,347141.95
2008-02-01,322978.55
2008-03-01,301288.3
2008-04-01,331840.65
2008-05-01,376786.95
2008-06-01,346791.55
2008-07-01,376945.85
2008-08-01,408236.3
2008-09-01,373351.25
2008-10-01,377272.95
2008-11-01,345764.85
2008-12-01,302760.2
2009-01-01,320379.1
2009-02-01,208178.5
2009-03-01,281693.15
2009-04-01,281674.25
2009-05-01,306164.75
2009-06-01,283982.8
2009-07-01,307907.75
2009-08-01,326905.75
2009-09-01,313286.95
2009-10-01,342412.6
2009-11-01,303494.75
2009-12-01,289010.85
2010-01-01,302692.9
2010-02-01,274939.8
2010-03-01,281748.8
2010-04-01,311343.05
2010-05-01,351737.35
2010-06-01,378967.05
2010-07-01,375800.9
2010-08-01,406691.4
2010-09-01,379784.45
2010-10-01,358240.65
2010-11-01,344324.45
2010-12-01,312860.7
2011-01-01,355119.25
2011-02-01,289163.05
2011-03-01,312802.85
2011-04-01,326846.35
2011-05-01,375127.8
2011-06-01,349423.3
2011-07-01,375299.55
2011-08-01,390877.5
2011-09-01,383434.9
2011-10-01,380437.85
2011-11-01,368338.45
2011-12-01,333164.25
2012-01-01,365824.1
2012-02-01,263458.8
2012-03-01,338742.0
2012-04-01,374035.7
2012-05-01,379574.5
2012-06-01,363603.45
2012-07-01,380920.5
2012-08-01,371591.0
2012-09-01,393946.1
2012-10-01,374385.3
2012-11-01,298760.2
2012-12-01,304971.7
2013-01-01,349141.55
2013-02-01,325505.25
2013-03-01,242547.5
2013-04-01,335032.95
2013-05-01,338131.35
2013-06-01,338636.5
2013-07-01,382783.0
2013-08-01,368697.75
2013-09-01,382673.75
2013-10-01,362452.1
2013-11-01,351992.25
2013-12-01,333121.35
2014-01-01,371733.35
2014-02-01,296537.1
2014-03-01,342885.85
2014-04-01,378044.05
2014-05-01,368010.15
2014-06-01,396092.8
2014-07-01,380192.25
2014-08-01,403003.2
2014-09-01,424221.2
2014-10-01,381558.65
2014-11-01,343236.6
2014-12-01,344398.95
2015-01-01,267943.7
2015-02-01,259956.05
2015-03-01,439209.35
2015-04-01,339593.75
2015-05-01,359685.3
2015-06-01,377780.6
2015-07-01,362001.95
2015-08-01,417318.8
2015-09-01,383963.4
2015-10-01,372415.65
2015-11-01,368714.55
2015-12-01,331046.9
2016-01-01,375215.7
2016-02-01,383368.25
2016-03-01,296849.7
2016-04-01,354203.55
2016-05-01,411709.05
2016-06-01,365177.15
2016-07-01,379453.6
2016-08-01,423190.25
2016-09-01,399978.25
2016-10-01,428196.85
2016-11-01,448311.35
2016-12-01,404880.65
2017-01-01,428397.3
2017-02-01,308581.75
2017-03-01,385636.95
2017-04-01,381516.65
2017-05-01,424501.95
2017-06-01,382783.6
2017-07-01,427677.95
2017-08-01,443038.8
2017-09-01,398366.25
2017-10-01,397958.7
2017-11-01,475788.25
2017-12-01,397301.05
2018-01-01,432128.75
2018-02-01,392682.95
2018-03-01,273842.25
2018-04-01,372526.3
2018-05-01,417372.6
2018-06-01,393365.15
2018-07-01,454681.6
2018-08-01,440676.4
2018-09-01,431310.4
2018-10-01,504387.85
2018-11-01,439966.15
2018-12-01,482353.25
2019-01-01,445730.5
2019-02-01,364550.55
2019-03-01,311053.9
2019-04-01,378343.5
2019-05-01,440313.4
2019-06-01,405824.0
2019-07-01,487604.9
2019-08-01,449085.8
2019-09-01,414680.75
2019-10-01,402425.5
2019-11-01,380437.65
2019-12-01,383794.25
2020-01-01,425761.5
2020-02-01,278735.05
2020-03-01,231607.3
2020-04-01,374186.0
2020-05-01,306366.0
2020-06-01,369256.9
2020-07-01,457196.7
2020-08-01,517024.75
2020-09-01,476681.55
2020-10-01,510812.8
2020-11-01,466067.4
2020-12-01,462655.3
2021-01-01,437863.2
2021-02-01,414154.5
2021-03-01,493465.25
2021-04-01,494681.6
2021-05-01,540803.1
2021-06-01,469553.6
2021-07-01,469481.55
2021-08-01,488873.85
2021-09-01,469570.1
2021-10-01,468713.6
2021-11-01,405309.3
2021-12-01,387523.15
2022-01-01,428474.25
2022-02-01,426812.45
2022-03-01,497775.85
2022-04-01,458264.05
2022-05-01,501679.3
2022-06-01,448267.35
2022-07-01,490708.85
2022-08-01,405666.7
2022-09-01,345575.05
2022-10-01,340663.7
2022-11-01,311555.5
2022-12-01,359872.25
2023-01-01,378520.7
2023-02-01,251582.65
2023-03-01,325953.75
2023-04-01,347883.75
2023-05-01,411685.95
2023-06-01,437376.2
2023-07-01,364850.25
2023-08-01,435983.2
2023-09-01,394052.35
2023-10-01,372563.8
2023-11-01,384759.75
2023-12-01,364852.0
2024-01-01,441942.05
2024-02-01,408903.1
2024-03-01,380560.0
2024-04-01,417181.85
2024-05-01,391130.55
2024-06-01,429297.8
2024-07-01,501639.35
2024-08-01,510699.3
2024-09-01,499886.9
2024-10-01,463252.5
2024-11-01,458403.55
2024-12-01,461312.5
2025-01-01,483975.25
2025-02-01,413269.25
2025-03-01,386592.75
2025-04-01,439884.15
2025-05-01,356363.85
2025-06-01,470597.75
2025-07-01,544230.8
2025-08-01,504970.9
2025-09-01,460319.75
2025-10-01,429303.75
2025-11-01,406490.5
2025-12-01,424510.75
