period,total_attendances,Value
2010-11-07,391495.0,4.485714285714286
2010-11-14,385685.0,4.864285714285714
2010-11-21,388743.0,2.63
2010-11-28,381273.0,1.2042857142857142
2010-12-05,363410.0,1.987142857142857
2010-12-12,411130.0,0.21571428571428572
2010-12-19,402809.0,1.2557142857142858
2010-12-26,361870.0,0.5614285714285714
2011-01-02,423295.0,1.77
2011-01-09,400282.0,4.247142857142856
2011-01-16,386293.0,6.872857142857143
2011-01-23,380241.0,1.5157142857142858
2011-01-30,382155.0,0.5885714285714286
2011-02-06,405190.0,2.414285714285714
2011-02-13,414931.0,3.442857142857143
2011-02-20,398042.0,2.4385714285714286
2011-02-27,382208.0,3.3814285714285717
2011-03-06,398141.0,0.12571428571428572
2011-03-13,416788.0,1.0671428571428572
2011-03-20,425003.0,0.6885714285714286
2011-03-27,430512.0,0.09857142857142856
2011-04-03,437280.0,1.737142857142857
2011-04-10,433066.0,0.6142857142857142
2011-04-17,414417.0,0.24857142857142858
2011-04-24,430923.0,0.19285714285714284
2011-05-01,441657.0,0.16428571428571428
2011-05-08,431361.0,2.498571428571428
2011-05-15,420448.0,0.8557142857142858
2011-05-22,420850.0,0.9257142857142858
2011-05-29,418370.0,1.82
2011-06-05,418503.0,1.4185714285714286
2011-06-12,410394.0,4.055714285714286
2011-06-19,413409.0,3.011428571428571
2011-06-26,415143.0,3.2271428571428573
2011-07-03,433196.0,0.5142857142857143
2011-07-10,429461.0,3.7542857142857144
2011-07-17,423223.0,3.3985714285714286
2011-07-24,411310.0,1.9814285714285713
2011-07-31,415310.0,0.17857142857142858
2011-08-07,413321.0,4.232857142857143
2011-08-14,392425.0,2.0714285714285716
2011-08-21,391908.0,2.0742857142857143
2011-08-28,388154.0,4.615714285714285
2011-09-04,402034.0,1.307142857142857
2011-09-11,399391.0,3.065714285714286
2011-09-18,415195.0,2.0185714285714282
2011-09-25,421368.0,1.7142857142857142
2011-10-02,441732.0,0.26142857142857145
2011-10-09,435304.0,2.29
2011-10-16,424876.0,1.3157142857142856
2011-10-23,406739.0,1.6099999999999999
2011-10-30,397553.0,3.742857142857143
2011-11-06,407619.0,3.462857142857143
2011-11-13,404644.0,1.407142857142857
2011-11-20,406047.0,0.4757142857142857
2011-11-27,410069.0,1.447142857142857
2011-12-04,399684.0,3.064285714285714
2011-12-11,398930.0,3.1785714285714284
2011-12-18,395212.0,5.564285714285714
2011-12-25,365203.0,3.43
2012-01-01,401695.0,3.2742857142857145
2012-01-08,395703.0,3.4114285714285715
2012-01-15,382031.0,0.32142857142857145
2012-01-22,388000.0,1.7185714285714286
2012-01-29,404509.0,3.1914285714285713
2012-02-05,384615.0,1.95
2012-02-12,400664.0,1.0371428571428571
2012-02-19,412534.0,0.8085714285714286
2012-02-26,431996.0,0.7385714285714285
2012-03-04,430063.0,2.5157142857142856
2012-03-11,429589.0,1.042857142857143
2012-03-18,431047.0,0.9371428571428572
2012-03-25,444324.0,0.07142857142857142
2012-04-01,446183.0,0.02
2012-04-08,419246.0,2.9642857142857144
2012-04-15,417098.0,2.588571428571428
2012-04-22,408582.0,5.315714285714286
2012-04-29,401215.0,9.297142857142857
2012-05-06,417493.0,2.73
2012-05-13,433468.0,4.545714285714285
2012-05-20,427886.0,1.3342857142857143
2012-05-27,446483.0,0.047142857142857146
2012-06-03,461794.0,3.6228571428571428
2012-06-10,440940.0,6.924285714285714
2012-06-17,424523.0,5.171428571428572
2012-06-24,437392.0,5.771428571428571
2012-07-01,451587.0,2.5285714285714285
2012-07-08,437175.0,7.78
2012-07-15,433563.0,5.204285714285715
2012-07-22,431075.0,2.3957142857142855
2012-07-29,440375.0,0.6628571428571428
2012-08-05,412380.0,3.4071428571428575
2012-08-12,412776.0,1.1614285714285713
2012-08-19,424420.0,3.697142857142857
2012-08-26,421012.0,2.8842857142857143
2012-09-02,409328.0,3.257142857142857
2012-09-09,416144.0,0.25857142857142856
2012-09-16,423360.0,1.6185714285714285
2012-09-23,416603.0,5.417142857142857
2012-09-30,415433.0,5.854285714285715
2012-10-07,421737.0,5.392857142857143
2012-10-14,418557.0,4.277142857142857
2012-10-21,420037.0,4.581428571428572
2012-10-28,404020.0,1.6328571428571428
2012-11-04,391891.0,5.24
2012-11-11,410820.0,1.4342857142857142
2012-11-18,417281.0,1.4000000000000001
2012-11-25,414435.0,11.462857142857144
2012-12-02,404784.0,3.3528571428571428
2012-12-09,409890.0,2.7199999999999998
2012-12-16,414700.0,3.672857142857143
2012-12-23,424281.0,10.388571428571428
2012-12-30,399014.0,6.231428571428571
2013-01-06,412216.0,1.3214285714285714
2013-01-13,389236.0,2.052857142857143
2013-01-20,360739.0,2.498571428571428
2013-01-27,388036.0,4.985714285714286
2013-02-03,423114.0,3.7528571428571427
