week_ending,Total Attendances
2010-11-07,391495
2010-11-14,385685
2010-11-21,388743
2010-11-28,381273
2010-12-05,363410
2010-12-12,411130
2010-12-19,402809
2010-12-26,361870
2011-01-02,423295
2011-01-09,400282
2011-01-16,386293
2011-01-23,380241
2011-01-30,382155
2011-02-06,405190
2011-02-13,414931
2011-02-20,398042
2011-02-27,382208
2011-03-06,398141
2011-03-13,416788
2011-03-20,425003
2011-03-27,430512
2011-04-03,437280
2011-04-10,433066
2011-04-17,414417
2011-04-24,430923
2011-05-01,441657
2011-05-08,431361
2011-05-15,420448
2011-05-22,420850
2011-05-29,418370
2011-06-05,418503
2011-06-12,410394
2011-06-19,413409
2011-06-26,415143
2011-07-03,433196
2011-07-10,429461
2011-07-17,423223
2011-07-24,411310
2011-07-31,415310
2011-08-07,413321
2011-08-14,392425
2011-08-21,391908
2011-08-28,388154
2011-09-04,402034
2011-09-11,399391
2011-09-18,415195
2011-09-25,421368
2011-10-02,441732
2011-10-09,435304
2011-10-16,424876
2011-10-23,406739
2011-10-30,397553
2011-11-06,407619
2011-11-13,404644
2011-11-20,406047
2011-11-27,410069
2011-12-04,399684
2011-12-11,398930
2011-12-18,395212
2011-12-25,365203
2012-01-01,401695
2012-01-08,395703
2012-01-15,382031
2012-01-22,388000
2012-01-29,404509
2012-02-05,384615
2012-02-12,400664
2012-02-19,412534
2012-02-26,431996
2012-03-04,430063
2012-03-11,429589
2012-03-18,431047
2012-03-25,444324
2012-04-01,446183
2012-04-08,419246
2012-04-15,417098
2012-04-22,408582
2012-04-29,401215
2012-05-06,417493
2012-05-13,433468
2012-05-20,427886
2012-05-27,446483
2012-06-03,461794
2012-06-10,440940
2012-06-17,424523
2012-06-24,437392
2012-07-01,451587
2012-07-08,437175
2012-07-15,433563
2012-07-22,431075
2012-07-29,440375
2012-08-05,412380
2012-08-12,412776
2012-08-19,424420
2012-08-26,421012
2012-09-02,409328
2012-09-09,416144
2012-09-16,423360
2012-09-23,416603
2012-09-30,415433
2012-10-07,421737
2012-10-14,418557
2012-10-21,420037
2012-10-28,404020
2012-11-04,391891
2012-11-11,410820
2012-11-18,417281
2012-11-25,414435
2012-12-02,404784
2012-12-09,409890
2012-12-16,414700
2012-12-23,424281
2012-12-30,399014
2013-01-06,412216
2013-01-13,389236
2013-01-20,360739
2013-01-27,388036
2013-02-03,423114
2013-02-10,415039
2013-02-17,409586
2013-02-24,400726
2013-03-03,423610
2013-03-10,430769
2013-03-17,420997
2013-03-24,414799
2013-03-31,416972
2013-04-07,424499
2013-04-14,417763
2013-04-21,433446
2013-04-28,430561
2013-05-05,438030
2013-05-12,443718
2013-05-19,420859
2013-05-26,420304
2013-06-02,411475
2013-06-09,422308
2013-06-16,422005
2013-06-23,437033
2013-06-30,432126
2013-07-07,440751
2013-07-14,457675
2013-07-21,457046
2013-07-28,440753
2013-08-04,420149
2013-08-11,413461
2013-08-18,403535
2013-08-25,417216
2013-09-01,427343
2013-09-08,410663
2013-09-15,395337
2013-09-22,410869
2013-09-29,430353
2013-10-06,423344
2013-10-13,415362
2013-10-20,410503
2013-10-27,418366
2013-11-03,389081
2013-11-10,401448
2013-11-17,406615
2013-11-24,404822
2013-12-01,412303
2013-12-08,415790
2013-12-15,415972
2013-12-22,408501
2013-12-29,372162
2014-01-05,387463
2014-01-12,383566
2014-01-19,390532
2014-01-26,398018
2014-02-02,406929
2014-02-09,418413
2014-02-16,409118
2014-02-23,410878
2014-03-02,429996
2014-03-09,438615
2014-03-16,446850
2014-03-23,450955
2014-03-30,433777
2014-04-06,450015
2014-04-13,428084
2014-04-20,432677
2014-04-27,442159
2014-05-04,441067
2014-05-11,448933
2014-05-18,450219
2014-05-25,457791
2014-06-01,430555
2014-06-08,444197
2014-06-15,455876
2014-06-22,460936
2014-06-29,455391
2014-07-06,450521
2014-07-13,453121
2014-07-20,456599
2014-07-27,451114
2014-08-03,431613
2014-08-10,421379
2014-08-17,401633
2014-08-24,397339
2014-08-31,411982
2014-09-07,422837
2014-09-14,431057
2014-09-21,441200
2014-09-28,433844
2014-10-05,435217
2014-10-12,422636
2014-10-19,433392
2014-10-26,427291
2014-11-02,417460
2014-11-09,418413
2014-11-16,429287
2014-11-23,430386
2014-11-30,433100
2014-12-07,436377
2014-12-14,440447
2014-12-21,446501
2014-12-28,403314
2015-01-04,407372
2015-01-11,388832
2015-01-18,377839
2015-01-25,389400
2015-02-01,400414
2015-02-08,407187
2015-02-15,420026
2015-02-22,405622
2015-03-01,425611
2015-03-08,433927
2015-03-15,433269
2015-03-22,444849
2015-03-29,444473
2015-04-05,439766
2015-04-12,442874
2015-04-19,433918
2015-04-26,434596
2015-05-03,433407
2015-05-10,445116
2015-05-17,441271
2015-05-24,434701
2015-05-31,430635
2015-06-07,434724
2015-06-14,444151
2015-06-21,448591
2015-06-28,448428
