Code,week_ending,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency Admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
Eng,2010-11-07,267142,12806,111547,391495,11827,40,85,11952,95.6,96.9,73589,1372,1272,76233,28181,104414,1847,0
Eng,2010-11-14,256893,13135,115657,385685,10223,29,131,10383,96.0,97.3,67526,1340,563,69429,28558,97987,1601,0
Eng,2010-11-21,260958,12751,115034,388743,9790,33,94,9917,96.2,97.4,68990,1343,649,70982,28794,99776,1430,0
Eng,2010-11-28,256061,12126,113086,381273,10087,36,96,10219,96.1,97.3,68181,1305,639,70125,29095,99220,1703,2
Eng,2010-12-05,245842,10183,107385,363410,13690,19,170,13879,94.4,96.2,68411,1299,546,70256,26701,96957,2093,0
Eng,2010-12-12,273068,11417,126645,411130,21933,65,340,22338,92.0,94.6,72101,1369,565,74035,29144,103179,3362,0
Eng,2010-12-19,266059,11422,125328,402809,21771,20,271,22062,91.8,94.5,71731,1788,576,74095,29626,103721,3409,9
Eng,2010-12-26,244799,9216,107855,361870,15532,12,239,15783,93.7,95.6,70709,1295,901,72905,28283,101188,2475,1
Eng,2011-01-02,279547,8691,135057,423295,27245,42,462,27749,90.3,93.4,77275,1256,1073,79604,25936,105540,4308,7
Eng,2011-01-09,260138,10527,129617,400282,26019,33,279,26331,90.0,93.4,72824,1221,887,74932,26839,101771,5185,7
Eng,2011-01-16,253937,12089,120267,386293,16479,30,140,16649,93.5,95.7,69683,1341,545,71569,28805,100374,3035,8
Eng,2011-01-23,250833,12190,117218,380241,10550,58,101,10709,95.8,97.2,66374,1195,1239,68808,28046,96854,1790,0
Eng,2011-01-30,251079,12502,118574,382155,9490,29,72,9591,96.2,97.5,67406,1394,509,69309,29059,98368,1644,0
Eng,2011-02-06,266161,12556,126473,405190,11622,16,129,11767,95.6,97.1,70016,401,979,71396,29981,101377,1940,2
Eng,2011-02-13,274118,13050,127763,414931,13213,22,161,13396,95.2,96.8,70773,428,635,71836,30977,102813,2334,1
Eng,2011-02-20,261795,12818,123429,398042,11975,22,107,12104,95.4,97.0,68867,424,599,69890,30277,100167,2165,0
Eng,2011-02-27,252456,12778,116974,382208,9720,35,124,9879,96.1,97.4,67268,398,645,68311,28942,97253,1490,0
Eng,2011-03-06,260401,12887,124853,398141,10169,22,154,10345,96.1,97.4,68069,590,582,69241,29311,98552,1544,0
Eng,2011-03-13,275567,13011,128210,416788,13330,53,198,13581,95.2,96.7,69763,668,707,71138,29650,100788,1916,0
Eng,2011-03-20,278671,13204,133128,425003,13669,98,178,13945,95.1,96.7,69927,425,1593,71945,30405,102350,2017,0
Eng,2011-03-27,284182,13116,133214,430512,13474,14,179,13667,95.3,96.8,69877,429,509,70815,29856,100671,2048,0
Eng,2011-04-03,286302,13166,137812,437280,15650,38,259,15947,94.5,96.4,70837,414,899,72150,30336,102486,2271,1
Eng,2011-04-10,283175,12906,136985,433066,15347,34,172,15553,94.6,96.4,69864,513,595,70972,29500,100472,2251,1
Eng,2011-04-17,268128,12458,133831,414417,12722,14,211,12947,95.3,96.9,68673,723,715,70111,28087,98198,1698,5
Eng,2011-04-24,279872,13429,137622,430923,12058,48,120,12226,95.7,97.2,68947,644,714,70305,26442,96747,1506,0
Eng,2011-05-01,283893,11208,146556,441657,11038,166,252,11456,96.1,97.4,67360,1029,767,69156,24065,93221,1286,0
Eng,2011-05-08,280121,12336,138904,431361,13665,212,210,14087,95.1,96.7,67728,631,625,68984,26367,95351,1929,1
Eng,2011-05-15,276368,13160,130920,420448,12084,94,179,12357,95.6,97.1,67051,695,562,68308,27975,96283,1588,1
Eng,2011-05-22,275401,13264,132185,420850,11502,41,154,11697,95.8,97.2,68229,642,659,69530,28406,97936,1440,0
Eng,2011-05-29,271297,13371,133702,418370,11168,43,146,11357,95.9,97.3,67895,687,658,69240,28243,97483,1683,0
Eng,2011-06-05,272805,11672,134026,418503,12640,36,172,12848,95.4,96.9,68023,630,602,69255,24917,94172,1697,2
Eng,2011-06-12,267281,13257,129856,410394,11629,84,131,11844,95.6,97.1,66682,673,629,67984,28245,96229,1729,1
Eng,2011-06-19,270572,13036,129801,413409,11703,28,129,11860,95.7,97.1,67606,669,593,68868,28181,97049,1706,4
Eng,2011-06-26,273469,12831,128843,415143,11549,30,181,11760,95.8,97.2,68130,658,594,69382,27654,97036,1509,2
Eng,2011-07-03,283999,12737,136460,433196,12151,38,167,12356,95.7,97.1,68666,680,612,69958,27589,97547,1581,2
Eng,2011-07-10,279033,12852,137576,429461,10982,75,300,11357,96.1,97.4,67653,813,550,69016,27783,96799,1563,0
Eng,2011-07-17,274093,12918,136212,423223,9026,23,212,9261,96.7,97.8,68432,933,629,69994,27491,97485,1216,2
Eng,2011-07-24,267032,12576,131702,411310,8766,64,117,8947,96.7,97.8,66671,854,590,68115,26964,95079,996,2
Eng,2011-07-31,269194,12399,133717,415310,9850,30,145,10025,96.3,97.6,66893,603,562,68058,26571,94629,1192,1
Eng,2011-08-07,267399,11654,134268,413321,12318,43,142,12503,95.4,97.0,66580,701,568,67849,26403,94252,1440,0
Eng,2011-08-14,253458,11562,127405,392425,9699,8,73,9780,96.2,97.5,65543,620,951,67114,25884,92998,1064,1
Eng,2011-08-21,253074,12032,126802,391908,9021,22,85,9128,96.4,97.7,64679,627,876,66182,25974,92156,932,0
Eng,2011-08-28,250090,11928,126136,388154,8611,27,177,8815,96.6,97.7,64777,626,584,65987,25989,91976,926,0
Eng,2011-09-04,260821,11000,130213,402034,11167,37,114,11318,95.7,97.2,66044,630,574,67248,24154,91402,1466,0
Eng,2011-09-11,260414,12191,126786,399391,11899,59,196,12154,95.4,97.0,66046,661,1034,67741,26442,94183,1870,0
Eng,2011-09-18,270874,12614,131707,415195,12268,32,168,12468,95.5,97.0,67948,918,578,69444,26559,96003,1703,0
Eng,2011-09-25,275735,12660,132973,421368,12137,39,167,12343,95.6,97.1,68961,679,666,70306,27167,97473,1579,0
Eng,2011-10-02,288511,12010,141211,441732,16502,40,202,16744,94.3,96.2,70498,774,655,71927,27294,99221,2058,13
Eng,2011-10-09,281814,12549,140941,435304,15282,54,171,15507,94.6,96.4,69551,707,973,71231,28026,99257,2328,0
Eng,2011-10-16,275382,12572,136922,424876,13714,48,243,14005,95.0,96.7,69389,395,922,70706,28040,98746,2126,0
Eng,2011-10-23,263261,12271,131207,406739,11510,54,138,11702,95.6,97.1,67768,351,910,69029,27815,96844,1605,17
Eng,2011-10-30,259704,11846,126003,397553,14048,34,124,14206,94.6,96.4,69199,403,893,70495,27303,97798,2049,17
Eng,2011-11-06,266806,12445,128368,407619,15487,33,221,15741,94.2,96.1,69320,699,1376,71395,27209,98604,2675,27
Eng,2011-11-13,262969,12254,129421,404644,12402,51,142,12595,95.3,96.9,68583,661,932,70176,27707,97883,1859,4
Eng,2011-11-20,264091,11984,129972,406047,11903,15,178,12096,95.5,97.0,69125,662,954,70741,28350,99091,1693,0
Eng,2011-11-27,267207,11928,130934,410069,14297,24,232,14553,94.6,96.5,69748,749,1008,71505,29118,100623,2147,1
Eng,2011-12-04,261337,11525,126822,399684,14721,49,153,14923,94.4,96.3,69656,737,938,71331,28471,99802,2214,0
Eng,2011-12-11,262788,11449,124693,398930,17397,29,167,17593,93.4,95.6,69819,714,881,71414,27550,98964,2799,3
Eng,2011-12-18,261516,11400,122296,395212,20689,11,256,20956,92.1,94.7,71193,737,897,72827,28099,100926,3129,1
Eng,2011-12-25,241551,10577,113075,365203,11872,29,130,12031,95.1,96.7,68543,649,882,70074,27569,97643,1909,0
Eng,2012-01-01,264152,9274,128269,401695,15716,20,276,16012,94.1,96.0,75081,644,1207,76932,24676,101608,2151,0
Eng,2012-01-08,257709,10901,127093,395703,20972,11,136,21119,91.9,94.7,71062,663,1072,72797,25802,98599,4305,7
Eng,2012-01-15,250227,11845,119959,382031,15477,14,106,15597,93.8,95.9,67723,702,872,69297,27314,96611,3081,0
Eng,2012-01-22,254178,12045,121777,388000,14029,15,118,14162,94.5,96.4,68668,763,865,70296,28032,98328,2785,0
Eng,2012-01-29,265663,12073,126773,404509,16441,14,157,16612,93.8,95.9,69986,756,1126,71868,28402,100270,2938,1
Eng,2012-02-05,253409,11964,119242,384615,13722,9,161,13892,94.6,96.4,68201,693,1105,69999,27565,97564,2556,0
Eng,2012-02-12,264100,11489,125075,400664,18211,14,308,18533,93.1,95.4,70703,711,1146,72560,27738,100298,3573,1
Eng,2012-02-19,270624,12377,129533,412534,24468,31,239,24738,91.0,94.0,73113,682,973,74768,28136,102904,4564,4
Eng,2012-02-26,283709,13076,135211,431996,23675,37,306,24018,91.7,94.4,73312,761,926,74999,28803,103802,4198,1
Eng,2012-03-04,282295,13225,134543,430063,18840,43,286,19169,93.3,95.5,71712,959,996,73667,28673,102340,3588,0
